id,nombre,tipo,direccion,lat,lon,horario,descripcion,tiene_sombra,recomendacion_calor
1,Ruth Benzacar Galería de Arte,galeria_arte,Juan Ramírez de Velasco 1287,-34.5902,-58.4435,Mar a Sáb 14:00 - 19:00,Galería insignia de arte contemporáneo argentino en galpón industrial reciclado.,si,Espacio cerrado climatizado ideal para resguardo en horas de calor extremo.
2,Centro Cultural Osvaldo Pugliese,centro_cultural,Malabia 178,-34.6009,-58.4346,Lun a Vie 15:00 - 21:00,Espacio cultural público del GCBA con muestras de artes visuales talleres y recitales.,si,Ambiente interior con aire y patio con sombra.
3,Club Cultural Matienzo,centro_cultural,Pringles 1249,-34.6022,-58.4287,Mar a Dom 18:00 - 02:00,Teatro cine recitales y galería de arte independiente con terraza.,si,Recomendado para el atardecer o noches templadas.
4,El Gato Viejo (Taller Ferroviario Regazzoni),museo_taller,Av. Dorrego y Corrientes,-34.5895,-58.4470,Mié a Dom 12:00 - 20:00,Atelier y museo al aire libre con esculturas monumentales de chatarra ferroviaria.,no,Exposición exterior; evitar mediodía en verano llevar gorra y agua.
5,Espacio Moebius,galeria_arte,Bulnes 1208,-34.5985,-58.4462,Lun a Sáb 14:00 - 20:00,Librería de cómics galería de ilustración y artes gráficas independientes.,si,Local protegido con aire acondicionado.
6,NÜN Teatro Bar,teatro,Juan Ramírez de Velasco 419,-34.5993,-58.4382,Mié a Dom 19:00 - 23:30,Teatro independiente y bar con coctelería y programación escénica de autor.,si,Ideal para cierre de recorrido nocturno.
7,Café San Bernardo (Sanber),cafe_notable,Av. Corrientes 5436,-34.5998,-58.4418,Abierto 24hs,Histórico bar notable porteño con mesas de billar pool ping-pong y café tradicional.,si,Refugio con techos altos y ventilación; excelente parada hidratación.
8,Cuervo Café,cafe_especialidad,Loyola 418,-34.5962,-58.4385,Lun a Dom 08:30 - 20:00,Tostadores de café de especialidad con mesas en vereda arbolada de calle Loyola.,si,Calle Loyola cuenta con arboleda densa que filtra los rayos solares.
9,LAB Tostadores de Café,cafe_especialidad,Humboldt 1542,-34.5889,-58.4357,Lun a Sáb 09:00 - 19:30,Pioneros del café de especialidad y métodos filtrados en Villa Crespo.,si,Interior con aire y barra climatizada.
10,Malvón Bakery & Café,cafe_especialidad,Serrano 789,-34.5968,-58.4372,Lun a Dom 09:00 - 20:00,Casona de principios del siglo XX con patio trasero repleto de plantas y pastelería.,si,Patio interno con tupida enredadera y sombra natural constante.
11,Café Crespín,cafe_especialidad,Vera 699,-34.5991,-58.4411,Mar a Dom 09:00 - 19:30,Especialidad en bakery norteamericana brunch y café en esquina tranquila.,si,Vereda sombreada sobre calle Vera.
12,Falena / Librería & Café,libreria_cafe,Charlone 201,-34.5878,-58.4485,Mar a Sáb 15:00 - 20:00,Librería secreta con sótano de vinos café de especialidad y patio con estanque.,si,Oasis térmico con paredes de ladrillo y follaje húmedo.
13,Bilbo Café,cafe_especialidad,Dr. Luis Beláustegui 802,-34.6062,-58.4481,Lun a Dom 08:00 - 20:30,Cafetería moderna con pastelería artesanal y terraza sombreada.,si,Toldos y vegetación para descanso del pedaleo.
14,Vereda Adentro / Obrador,cafe_especialidad,Gurruchaga 1022,-34.5951,-58.4397,Mié a Dom 09:00 - 19:00,Café al paso y panadería de masa madre en un tramo clave de ciclovía Gurruchaga.,si,Corredor de ciclovía con buena canopia de arbolado lineal.
15,Plaza Benito Nazar,plaza_arbolada,Antezana y Olaya,-34.6048,-58.4452,Acceso público libre 24hs,Plaza clásica de Villa Crespo con gran cobertura de jacarandás y tipas añosas bebederos y bancos.,si,PUNTO CLAVE DE SOMBRA: Gran reducción térmica bebederos públicos para recargar caramañola.
16,Plaza 24 de Septiembre,plaza_arbolada,Cnel. Apolinario Figueroa y Rojas,-34.6068,-58.4488,Acceso público libre 24hs,Gran pulmón verde barrial arboleda tupida juegos y ciclovía en su perímetro.,si,PUNTO CLAVE DE SOMBRA: Espacio ideal para descansar antes de emprender el retorno.
17,Plazoleta San Bernardo,plaza_arbolada,Av. Corrientes y Gurruchaga,-34.5986,-58.4408,Acceso público libre 24hs,Paseo arbolado sobre Corrientes bancos y estación Ecobici a 30 metros.,si,Sombra intermedia y conexión inmediata con ciclovías de Gurruchaga.
18,Parque Centenario (Perímetro Norte),plaza_arbolada,Av. Patricias Argentinas y Warnes,-34.6042,-58.4362,Abierto 08:00 - 20:00,Gran parque con lago anfiteatro y sombra forestal densa en el límite de Villa Crespo.,si,PUNTO CLAVE DE SOMBRA: Densidad arbórea máxima y múltiples bebederos.
